"site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Lake Malawa, Africa","Pseudotropheus tropheops","volume","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","1","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","2","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Melanochromis auratus","volume","percent",NA,NA,NA,NA,NA,NA,"13","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","3","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus gracilior","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","4","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus elongatus","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","5","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Petrotilapia nigra","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","6","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus tropheops","number","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","7","data entered by hand by jsw","dimophococcus","0.5","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","8","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Melanochromis auratus","number","percent",NA,NA,NA,NA,NA,NA,"13","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","9","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus gracilior","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","10","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus elongatus","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","11","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Petrotilapia nigra","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","12","data entered by hand by jsw","dimophococcus","0","unknown"
"Lake Malawa, Africa","Pseudotropheus zebra","number","percent",NA,NA,NA,NA,NA,NA,"20","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","13","data entered by hand by jsw","dimophococcus","0.5","unknown"
"Lake Malawa, Africa","Pseudotropheus tropheops","volume","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","1","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","2","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Melanochromis auratus","volume","percent",NA,NA,NA,NA,NA,NA,"13","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","3","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Pseudotropheus gracilior","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","4","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Pseudotropheus elongatus","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","5","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Petrotilapia nigra","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","6","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Pseudotropheus tropheops","number","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","7","data entered by hand by jsw","oedogonium","0.5","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","8","data entered by hand by jsw","oedogonium","1","unknown"
"Lake Malawa, Africa","Melanochromis auratus","number","percent",NA,NA,NA,NA,NA,NA,"13","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","9","data entered by hand by jsw","oedogonium","1.1","unknown"
"Lake Malawa, Africa","Pseudotropheus gracilior","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","10","data entered by hand by jsw","oedogonium","1","unknown"
"Lake Malawa, Africa","Pseudotropheus elongatus","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","11","data entered by hand by jsw","oedogonium","3.9","unknown"
"Lake Malawa, Africa","Petrotilapia nigra","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","12","data entered by hand by jsw","oedogonium","1","unknown"
"Lake Malawa, Africa","Pseudotropheus zebra","number","percent",NA,NA,NA,NA,NA,NA,"20","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","13","data entered by hand by jsw","oedogonium","4.7","unknown"
"Lake Malawa, Africa","Pseudotropheus tropheops","volume","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","1","data entered by hand by jsw","pediastrum","0.5","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","2","data entered by hand by jsw","pediastrum","0","unknown"
"Lake Malawa, Africa","Melanochromis auratus","volume","percent",NA,NA,NA,NA,NA,NA,"13","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","3","data entered by hand by jsw","pediastrum","0.5","unknown"
"Lake Malawa, Africa","Pseudotropheus gracilior","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","4","data entered by hand by jsw","pediastrum","0","unknown"
"Lake Malawa, Africa","Pseudotropheus elongatus","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","5","data entered by hand by jsw","pediastrum","0","unknown"
"Lake Malawa, Africa","Petrotilapia nigra","volume","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","6","data entered by hand by jsw","pediastrum","0","unknown"
"Lake Malawa, Africa","Pseudotropheus tropheops","number","percent",NA,NA,NA,NA,NA,NA,"25","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","7","data entered by hand by jsw","pediastrum","0.5","unknown"
"Lake Malawa, Africa","Labeotropheus fuelleborni","number","percent",NA,NA,NA,NA,NA,NA,"8","1985-05-01","1985-07-01","likely once","lentic","rock habitat","Reinthal","1990","Environmental Biology of Fishes","Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa","tbl1","averaged over size and sample date","8","data entered by hand by jsw","pediastrum","0","unknown"
